Sites;amblo_rupes;ameiu_natal;ameiu_nebul;catos_comme;culae_incon;hybog_regiu;lepom_gibbo;lepom_macro;luxil_cornu;micro_dolom;micro_salmo;notro_bifre;notro_hetdo;notro_hetle;notro_stram;notro_voluc;perca_flave;pimep_notat;pimep_prome;semot_acrom;umbra_limi
6;0;0;0;0;0;0;0.195047435;0.804952565;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0;0;0.23166161;0;0;0;0;0;0.76833839;0;0;0;0
10;0;0;0;0;0;0;0.092640583;0.641715816;0;0;0;0;0;0;0;0;0.083746567;0.181897034;0;0;0
12;0;0.014018142;0.194689444;0;0;0;0.026935958;0.013467979;0;0;0;0.014018142;0;0.308399118;0.014145264;0;0.013467979;0.014018142;0.014018142;0.37282169;0
13;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0.5
15;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;0;0;0.435776372;0.290212656;0;0;0.128904644;0;0;0;0;0;0.145106328;0;0;0;0
20;0.084901678;0;0.53655469;0;0;0;0.027865835;0.192745233;0;0;0;0;0;0;0;0;0.05573167;0;0;0;0.102200893
22;0;0;0;0;0;0;0;0.724982293;0;0;0;0;0;0;0;0;0.144996459;0;0;0;0.130021249
25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
27;0;0;0;0;0;0;0.301712993;0.5;0;0;0;0;0;0;0;0;0.066095669;0;0;0;0.132191338
29;0;0;0;0;0;0;0.14567163;0;0;0;0;0;0;0;0;0;0.334837632;0;0;0;0.519490738
31;0;0;0;0;0;0;0.126032507;0.28630429;0;0;0;0;0;0;0;0;0;0;0;0.587663203;0
32;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0.5;0;0;0;0
33;0.089932542;0;0;0;0;0;0;0.119670236;0;0;0.050754062;0;0;0;0;0;0;0.627009683;0;0;0.112633477
41;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0.5;0;0;0
44;0;0;0.140537691;0;0;0;0;0;0;0;0;0;0;0;0;0;0.289193463;0;0;0;0.570268846
46;0;0;0.01719139;0.032625056;0.102269244;0.034145293;0;0.01719139;0.051217939;0;0;0;0.034382779;0;0;0;0;0.17143104;0.136659908;0.402885961;0
48;0;0;0;0;0.027874386;0.061387242;0;0.122774484;0;0;0;0;0;0;0;0.059544308;0;0.230586162;0.122774484;0.375058934;0
49;0;0;0;0.038986681;0.040256146;0;0.120216335;0;0;0;0;0;0;0;0;0;0.126728916;0;0.038986681;0.428853495;0.205971744
50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
51;0;0;0;0;0;0;0.157547113;0.183256168;0;0;0.157547113;0;0;0;0;0;0.186555379;0;0;0;0.315094227
52;0;0;0;0;0;0;0;0.694192377;0;0;0;0;0;0;0;0;0.138838475;0;0;0;0.166969147
53;0;0;0;0;0;0;0;0.299019188;0;0;0;0;0;0;0;0;0.700980812;0;0;0;0
55;0.065838509;0;0;0;0;0;0.329192547;0.331677019;0;0;0;0;0;0;0;0;0.204968944;0.068322981;0;0;0
56;0;0;0;0;0;0;0.190361039;0.809638961;0;0;0;0;0;0;0;0;0;0;0;0;0
57;0.217156105;0;0;0;0;0;0.405718702;0;0;0;0;0;0;0;0;0;0;0;0;0;0.377125193
58;0;0;0;0;0;0;0.445404072;0.554595928;0;0;0;0;0;0;0;0;0;0;0;0;0
